titre,titre_original,date,duree,descriptions,genre,langue_origine,pays,public,score,acteurs,nbSaisons,nbEpisodes
The Civil War,The Civil War,23 septembre 1990,680,A comprehensive survey of the American Civil War.,"Documentaire,Historique,Guerre",Anglais,États-Unis,TV-14,9.1,"David McCullough,Sam Waterston,Julie Harris,Jason Robards,Morgan Freeman,Paul Roebling,Garrison Keillor,George Black,Arthur Miller,Christopher Murney,Charles McDowell,Horton Foote,George Plimpton,Philip Bosco,Terry Courier,Jody Powell,Studs Terkel,Jeremy Irons",1,9
Only Fools and Horses,Only Fools and Horses....,8 septembre 1981,95,Une comédie qui suit deux frères dans le lôtissement dûr de Peckham à Londres alors qu'ils tentent de régler un certain nombre de contrats loufoques à la recherche du gros lot qui fera d'eux des millionnaires.,Comédie,Anglais,Royaume-Uni,TV-PG,9.0,"David Jason,Nicholas Lyndhurst,Roger Lloyd Pack,Buster Merryfield,John Challis,Kenneth MacDonald,Lennard Pearce,Gwyneth Strong,Sue Holderness,Patrick Murray,Tessa Peake-Jones,Paul Barber,Roy Heather,Denis Lill,Nula Conwell,Steven Woodcock,Julie La Rousse,Michele Winstanley",9,64
Death Note,Desu nôto,2 février 2008,24,Un lycéen intelligent se lance dans une croisade secrète afin d'éliminer les criminels du monde après avoir découvert un cahier capable de tuer n'importe quelle personne si son nom y est écrit.,"Animation,Policier,Drame",Japonais,Japon,12,9.0,"Mamoru Miyano,Brad Swaile,Vincent Tong,Ryô Naitô,Trevor Devall,Brian Drummond,Naoya Uchida,Chris Britton,Keiji Fujiwara,Kappei Yamaguchi,Aya Hirano,Shannon Chan-Kent,Alessandro Juliani,Shidô Nakamura,John Murphy,Kazuya Nakai,Kiyoshi Kobayashi,French Tickner",1,37
True Detective,True Detective,13 janvier 2014,55,Série dans laquelle les enquêtes policières dénichent les secrets personnels et professionnels des personnes impliquées dans la loi ou non.,"Policier,Drame,Mystère",Anglais,États-Unis,12,8.9,"Vince Vaughn,Colin Farrell,Rachel McAdams,Taylor Kitsch,Matthew McConaughey,Mahershala Ali,Woody Harrelson,Carmen Ejogo,Michelle Monaghan,Stephen Dorff,Michael Potts,Kelly Reilly,Scoot McNairy,Tory Kittles,Ray Fisher,Chris Kerson,Ritchie Coster,Sarah Gadon",3,25
Hunter x Hunter,Hunter x Hunter,25 juillet 2017,24,"Gon Freecss aspire à devenir chasseur. Avec ses amis et son potentiel, il recherche son père qui l'a quitté quand il était plus jeune.","Animation,Action,Aventure","Japonais,Anglais","Japon,Pologne",Tous publics,9.0,"Issei Futamata,Megumi Han,Cristina Valenzuela,Mariya Ise,Michael McConnohie,Erica Mendez,Erika Harlacher,Miyuki Sawashiro,Daisuke Namikawa,Matthew Mercer,Keiji Fujiwara,Keith Silverstein,Wataru Takagi,Tony Oliver,Bill Rogers,Ray Chase,Ben Diskin,Kyle Hebert",1,148
Terres de glace,Frozen Planet,26 octobre 2011,333,Focuses on life and the environment in both the Arctic and Antarctic.,Documentaire,"Anglais,Russe","Royaume-Uni,États-Unis,Espagne,Allemagne,Grèce,Canada",TV-PG,9.0,"David Attenborough,Alec Baldwin,Chadden Hunter,Michael Kelem,Ted Giffords,Mark Linfield,Vanessa Berlowitz,Jeff Turner,Doug Allan,Jeff Wilson,Gavin Thurston,Doug Anderson,Mark Smith,Alun Hubbard,Didier Noirot,Jamie McPherson,John Aitchison,Matthew Swarbrick",1,10
Better Call Saul,Better Call Saul,9 février 2015,46,Les procès et tribulations de l'avocat criminel Jimmy McGill durant la période précédant la création de son cabinet d'avocats spécialisé dans les centres commerciaux à Albuquerque au Nouveau-Mexique.,"Policier,Drame","Anglais,Espagnol,Vietnamien",États-Unis,Tous publics avec avertissement,8.9,"Bob Odenkirk,Rhea Seehorn,Jonathan Banks,Patrick Fabian,Michael Mando,Giancarlo Esposito,Michael McKean,Tony Dalton,Mark Margolis,Kerry Condon,Ray Campbell,Jeremiah Bitsui,Cara Pifko,Dennis Boutsikaris,Ed Begley Jr.,Josh Fadem,Tina Parker,Julian Bonfiglio",6,63
Planète des hommes,Human Planet,13 janvier 2011,50,A cinematic experience bringing you the most amazing human stories in the world. Humans and wildlife surviving in the most extreme environments on Earth,Documentaire,Anglais,Royaume-Uni,TV-PG,9.0,"John Hurt,Roger Munns",1,8
Firefly,Firefly,31 mars 2005,44,"Cinq cents ans plus tard, un équipage renégat à bord d'un petit vaisseau spatial tente de survivre alors qu'il parcourt des régions inconnues de la galaxie et échappe aux factions en guerre ainsi qu'aux agents d'autorité.","Aventure,Drame,Science-fiction","Anglais,Mandarin,Cantonais",États-Unis,Tous publics,9.0,"Nathan Fillion,Gina Torres,Alan Tudyk,Morena Baccarin,Adam Baldwin,Jewel Staite,Sean Maher,Summer Glau,Ron Glass,Christina Hendricks,Mark Sheppard,Michael Fairman,Jeff Ricketts,Dennis Cockrum,Zac Efron,Doug Savant,Richard Brooks,Gregory Itzin",1,14
L'attaque des titans,Shingeki no Kyojin,7 avril 2013,24,"Après la destruction de sa ville natale et la mort de sa mère, le jeune Eren Yeager promet de purger la terre des géants humanoïdes appelés Titans qui menacent l'humanité toute entière.","Animation,Action,Aventure",Japonais,Japon,16,9.0,"Josh Grelle,Bryce Papenbrook,Yûki Kaji,Yui Ishikawa,Marina Inoue,Trina Nishimura,Kishô Taniyama,Clifford Chapin,Hiro Shimono,Mike McFarland,Romi Park,Matthew Mercer,Jessica Calvello,Hiroshi Kamiya,Yoshimasa Hosoya,Yû Kobayashi,Robert McCollum,Ashly Burch",4,97
The Office,The Office,3 juin 2007,22,"Le quotidien d'un groupe d'employés de bureau ordinaire, pour qui une journée de travail typique implique des conflits égocentriques, des comportements inappropriés et de l'ennui total.",Comédie,Anglais,États-Unis,13,9.0,"Steve Carell,Jenna Fischer,John Krasinski,Rainn Wilson,Leslie David Baker,Brian Baumgartner,Angela Kinsey,Kate Flannery,Phyllis Smith,Creed Bratton,Oscar Nuñez,B.J. Novak,Mindy Kaling,Ed Helms,Paul Lieberstein,Craig Robinson,Ellie Kemper,Zach Woods",9,188
The Blue Planet,The Blue Planet,12 septembre 2001,389,"Mammoth series, five years in the making, taking a look at the rich tapestry of life in the world's oceans.",Documentaire,Anglais,"Royaume-Uni,Allemagne",TV-G,9.0,"David Attenborough,Pierce Brosnan,Peter Scoones",1,8
Arcane,League of Legends,7 novembre 2021,41,Raconte l'intensification des tensions entre deux villes suite à l'apparition de nouvelles inventions qui menacent de provoquer une véritable révolution.,"Animation,Action,Aventure",Anglais,"États-Unis,France",16,9.0,"Hailee Steinfeld,Kevin Alejandro,Jason Spisak,Terri Douglas,Remy Hii,Harry Lloyd,Toks Olagundoye,Robin Atkin Downes,Arthur Ortiz,JB Blanc,Dave B. Mitchell,Amirah Vann,Katie Leung,Ella Purnell,Mia Sinclair Jenness,Josh Keaton,Mick Wingert,Scott Menville",1,10
Batman,The Animated Series,5 décembre 1992,23,Le Chevalier Noir combat le crime à Gotham City avec l'aide occasionnelle de Robin et de Batgirl.,"Animation,Action,Aventure",Anglais,États-Unis,Tous publics,9.0,"Kevin Conroy,Loren Lester,Efrem Zimbalist Jr.,Bob Hastings,Robert Costanzo,Mari Devon,Mark Hamill,Richard Moll,Lloyd Bochner,Arleen Sorkin,John Vernon,Adrienne Barbeau,Brock Peters,Diane Pershing,Paul Williams,Ingrid Oliu,Neil Ross,Aron Kincaid",4,85
SCAM 1992: The Harshad Mehta Story,The Harshad Mehta Story,9 octobre 2020,54,"Situé dans les années 80 et 90 à Bombay, la série suit Harshad Mehta, un agent de change qui a porté le marché boursier à des hauteurs vertigineuses et sa chute catastrophique.","Biographique,Policier,Drame",Hindi,Inde,TV-14,9.3,"Pratik Gandhi,Shreya Dhanwanthary,Hemant Kher,Anjali Barot,Chirag Vohra,Akdas Hayat,Brinda Trivedi,Jay Upadhyay,Kumkum Das,Anant Mahadevan,Faisal Rashid,Nikhil Dwivedi,Kavin Dave,Paresh Ganatra,Himanshu Kohli,Aakanksha Gade,K.K. Raina,Raghav Raj Kakker",1,10
Bluey,Bluey,22 octobre 2019,7,Les aventures d'une petite chienne bouvier australien alors qu'elle s'amuse avec sa famille et ses amis dans des situations de tous les jours.,"Animation,Famille",Anglais,"Australie,Royaume-Uni",Tous publics,9.6,"David McCormack,Melanie Zanetti,Ninthe van Schie,Brad Elliott,Dan Brumm,Myf Warhurst,Megan Washington,Chris Brumm,Daley Pearson,Emily Taheny,Richard Jeffery,Leigh Sales,Francis Stanton,Kelly Butler,Hamish Blake,Joff Bush,Hsiao Ling Tang,Laurie Newman",3,161
The Vietnam War,The Vietnam War,17 septembre 2017,990,Une histoire complète de l'implication des États-Unis dans le conflit armé qui divise amèrement l'Asie du Sud-Est.,"Documentaire,Historique,Guerre",Anglais,États-Unis,TV-MA,9.1,"Peter Coyote,Huy Duc,James Willbanks,Duong Van Mai Elliott,Joachim Król,Bernt Hahn,Josef Tratnik,Ernst August Schepmann,Robert Steudtner,Renate Fuhrmann,Simon Roden,Hans-Gerd Kilbinger,Maximilian Hilbrand,John Musgrave,Phan Quang Tue,Karl Marlantes,Nguyen Ngoc,Bao Ninh",1,10
La quatrième dimension,The Twilight Zone,6 février 1965,51,"Des gens ordinaires se retrouvent dans des situations extraordinaires et stupéfiantes, qu'ils tentent chacun de résoudre de manière remarquable.","Drame,Fantastique,Horreur",Anglais,États-Unis,Tous publics,9.1,"Rod Serling,Robert McCord,Jay Overholts,James Turley,Vaughn Taylor,David Armstrong,Jack Klugman,Burgess Meredith,John Anderson,J. Pat O'Malley,Barney Phillips,George Mitchell,Cyril Delevanti,Jon Lormer,John McLiam,Bill Erwin,Nan Peterson,Lew Brown",5,156
"Life, l'aventure de la vie",Life,12 octobre 2009,473,David Attenborough's legendary BBC crew explains and shows wildlife all over planet earth. From giving an overview of the challenges facing life to hunting the deep sea and various major evolutionary groups of creatures.,Documentaire,Anglais,"Royaume-Uni,États-Unis,Grèce,Italie,Allemagne",Tous publics,9.1,"Oprah Winfrey,David Attenborough,Doug Allan,Roger Munns,Michael Pitts,Neil Lucas,Matthew Swarbrick,Barrie Britton,Justine Evans,Jonathan Smith,Kevin Flay,Nick Guy,Stephen Lyle,David Baillie,Martha Holmes,Doug Anderson,Tim Shepherd,Adam Chapman",1,11
Sherlock,Sherlock,1 janvier 2011,88,Une version moderne du célèbre détective et de son partenaire médecin résolvant le crime dans la ville de Londres au XXIème siècle.,"Policier,Drame,Mystère",Anglais,"Royaume-Uni,États-Unis",Tous publics,9.1,"Benedict Cumberbatch,Martin Freeman,Una Stubbs,Rupert Graves,Louise Brealey,Mark Gatiss,Andrew Scott,Amanda Abbington,Jonathan Aris,Vinette Robinson,Tanya Moodie,Lindsay Duncan,Yasmine Akram,Sian Brooke,David Nellist,Simon Kunz,Wanda Ventham,Timothy Carlton",4,15
Fullmetal Alchemist: Brotherhood,Hagane no renkinjutsushi,19 octobre 2009,24,Deux frères en quête d'une Pierre du Philosophe (Philosopher's stone) suite à une tentative de faire revivre leur mère décédée a mal tourné et les laisse dans des formes physiques endommagées.,"Animation,Action,Aventure",Japonais,Japon,Tous publics,9.1,"Kent Williams,Iemasa Kayumi,Matthew Leonhart,Vic Mignogna,Romi Park,Muriel Hofmann,Lili Troncale,Rie Kugimiya,Maxey Whitehead,Travis Willingham,Shin'ichirô Miki,Colleen Clinkenbeard,Fumiko Orikasa,J. Michael Tatum,Kenta Miyake,Yuki Hayashi,Caitlin Glass,Monica Rial",1,68
The Last Dance,The Last Dance,20 avril 2020,491,"La montée en puissance de l'équipe des Chicago Bulls menée par Michael Jordan dans les années 1990, l'une des équipes les plus remarquables dans toute l'histoire du sport.","Documentaire,Biographique,Historique",Anglais,États-Unis,7,9.1,"Michael Jordan,Phil Jackson,Scottie Pippen,David Aldridge,Michael Wilbon,Steve Kerr,Andrea Kremer,Deloris Jordan,John Paxson,Bill Wennington,Dennis Rodman,Ahmad Rashad,Bob Costas,David Stern,Sam Smith,Jerry Reinsdorf,Rick Telander,B.J. Armstrong",1,10
Rick et Morty,Rick and Morty,9 octobre 2015,23,Une série animée suivant les exploits d'un super scientifique et de son petit-fils pas très futé.,"Animation,Aventure,Comédie",Anglais,États-Unis,12,9.1,"Justin Roiland,Chris Parnell,Spencer Grammer,Sarah Chalke,Kari Wahlgren,Maurice LaMarche,Dan Harmon,Tom Kenny,Brandon Johnson,Nolan North,Ryan Ridley,Cassie Steele,Keith David,Phil Hendrie,Rob Schrab,Echo Kellum,Lee Harting,Nick Reczynski",6,61
The World at War,The World at War,31 octobre 1973,52,"Une série documentaire en 26 épisodes inédits racontée par l'acteur Laurence Olivier sur le conflit le plus meurtrier de l'histoire, la 2ème Guerre Mondiale.","Documentaire,Historique,Guerre","Anglais,Allemand,Français,Japonais",Royaume-Uni,TV-PG,9.2,"Laurence Olivier,Averell Harriman,Albert Speer,Anthony Eden,Siegfried Westphal,Lawrence Durrell,J. Lawton Collins,Toshikazu Kase,Louis Mountbatten,Wynford Vaughan-Thomas,Walter Warlimont,J.R. Colville,Minoru Genda,Mitsuo Fuchida,Hans Kehrl,R.A. Butler,John J. McCloy,Adolf Galland",1,26
Game of Thrones,Game of Thrones,5 juin 2011,57,"Neuf nobles familles se battent pour le contrôle des terres mythiques de Westeros, tandis qu'un ancien ennemi revient après avoir été endormi pendant des milliers d'années.","Action,Aventure,Drame",Anglais,"États-Unis,Royaume-Uni",12,9.2,"Emilia Clarke,Peter Dinklage,Kit Harington,Lena Headey,Sophie Turner,Maisie Williams,Nikolaj Coster-Waldau,Iain Glen,John Bradley,Alfie Allen,Conleth Hill,Liam Cunningham,Gwendoline Christie,Aidan Gillen,Isaac Hempstead Wright,Rory McCann,Nathalie Emmanuel,Jerome Flynn",8,73
Notre planète,Our Planet,5 avril 2019,403,"Série documentaire sur la diversité des habitats naturels à travers le monde, des contrées lointaines et arctiques aux océans profonds et mystérieux, en passant par les vastes paysages de l'Afrique et les jungles de l'Amérique du Sud.",Documentaire,Anglais,"États-Unis,Royaume-Uni",7,9.3,David Attenborough,1,8
Les Soprano,The Sopranos,5 septembre 1999,55,"Tony Soprano, chef de la mafia du New Jersey, doit gérer les problèmes personnels et professionnels qui affectent sa santé mentale, l'amenant à consulter une psychologue.","Policier,Drame","Anglais,Italien,Russe",États-Unis,Tous publics,9.2,"James Gandolfini,Lorraine Bracco,Edie Falco,Michael Imperioli,Steven Van Zandt,Robert Iler,Tony Sirico,Jamie-Lynn Sigler,Dominic Chianese,Aida Turturro,Steve Schirripa,Drea de Matteo,Dan Grimaldi,Joseph R. Gannascoli,Sharon Angela,John Ventimiglia,Vincent Curatola,Frank Vincent",6,86
Cosmos,Cosmos,28 septembre 1980,780,Astronomer Carl Sagan leads us on an engaging guided tour of the various elements and cosmological theories of the universe.,Documentaire,Anglais,"États-Unis,Royaume-Uni",TV-PG,9.3,"Carl Sagan,Jaromír Hanzlík,Jonathan Fahn,Bob Hevelone,Larry Soderblom,Jean Charney,Cecilia White,Bill Grant,Linda Morabito,Alan Belod,Arthur 'Lonne' Lane,Victor C. John,Ronald A. Hilbert,Dana Hlavácová,Josef Vinklár",1,13
Blue Planet II,Blue Planet II,29 octobre 2017,364,"David Attenborough returns to the world's oceans in this sequel to the acclaimed documentary filming rare and unusual creatures of the deep, as well as documenting the problems our oceans face.",Documentaire,Anglais,"Royaume-Uni,États-Unis,Chine,France,Allemagne",TV-G,9.3,"David Attenborough,Peter Drost,Russell Boulter,Roger Munns,Roger Horrocks",1,8
"Avatar, le dernier maître de l'air",The Last Airbender,27 août 2005,23,"Dans un monde magique déchiré par la guerre, un jeune garçon se réveille et se lance dans une quête mystique et dangereuse pour accomplir son destin d'Avatar et apporter la paix dans le monde.","Animation,Action,Aventure",Anglais,États-Unis,T,9.3,"Dee Bradley Baker,Zach Tyler Eisen,Mae Whitman,Jack De Sena,Dante Basco,Michaela Jill Murphy,Mako,Grey Griffin,André Sogliuzzo,Cricket Leigh,Mark Hamill,Jennie Kwan,Olivia Hack,Greg Baldwin,Jim Meskimen,James Garrett,Jason Isaacs,James Sie",3,62
Cosmos: Une odyssée à travers l'univers,A Spacetime Odyssey,16 mars 2014,557,Une exploration de notre découverte des lois de la nature et des coordonnées dans l'espace et le temps.,Documentaire,Anglais,États-Unis,Tous publics,9.3,"Neil deGrasse Tyson,Christopher Emerson,Keythe Farley,Piotr Michael,Enn Reitel,Stoney Emshwiller,André Sogliuzzo,Amanda Seyfried,Kirsten Dunst,Phil LaMarr,Paul Sorvino,Larry Cedar,Christiane Amanpour,Seth MacFarlane,Fred Tatasciore,Martin Jarvis,Glenn Steinbaum,Maria Frucci",1,13
Sur écoute,The Wire,8 janvier 2004,59,Le monde de la drogue à Baltimore à travers les yeux des trafiquants comme des forces de l'ordre.,"Policier,Drame,Thriller","Anglais,Grec,Mandarin,Espagnol",États-Unis,Tous publics,9.3,"Dominic West,Lance Reddick,Sonja Sohn,Wendell Pierce,John Doman,Deirdre Lovejoy,Seth Gilliam,Domenick Lombardozzi,Clarke Peters,Andre Royo,Michael Kenneth Williams,Jim True-Frost,Frankie Faison,Corey Parker Robinson,Delaney Williams,J.D. Williams,Wood Harris,Idris Elba",5,60
Frères d'armes,Band of Brothers,22 juillet 2002,594,"L'histoire de la Easy Company de la 101e division aéroportée de l'armée américaine, et de sa mission en Europe pendant la Seconde Guerre mondiale, de l'opération Overlord au jour de la Victoire sur le Japon.","Drame,Historique,Guerre","Anglais,Néerlandais,Français,Allemand,Lituanien","États-Unis,Royaume-Uni",Tous publics,9.4,"Scott Grimes,Damian Lewis,Ron Livingston,Shane Taylor,Donnie Wahlberg,Peter Youngblood Hills,Matthew Leitch,Nicholas Aaron,Philip Barantini,Michael Cudlitz,Dexter Fletcher,Rick Gomez,James Madio,Ross McCall,Doug Allen,George Calil,Nolan Hemmings,Robin Laing",1,10
Chernobyl,Chernobyl,7 mai 2019,330,"En avril 1986, une explosion à la centrale nucléaire de Tchernobyl en URSS, devient l'une des pires catastrophes causées par l'homme au monde.","Drame,Historique,Thriller","Anglais,Russe,Ukrainien","États-Unis,Royaume-Uni",12,9.4,"Jessie Buckley,Jared Harris,Stellan Skarsgård,Adam Nagaitis,Emily Watson,Paul Ritter,Robert Emms,Sam Troughton,Karl Davies,Michael Socha,Laura Elphinstone,Jan Ricica,Adrian Rawlins,Alan Williams,Con O'Neill,Douggie McMeekin,Nadia Clifford,David Dencik",1,5
Planète Terre,Planet Earth,27 février 2006,538,"Récompensée par un Emmy Award, onze épisodes, cinq ans de préparation, la série documentaire sur la nature la plus chère jamais commandée par la BBC et la première à être filmée en haute définition.",Documentaire,Anglais,Royaume-Uni,Tous publics,9.4,"Sigourney Weaver,David Attenborough,Nikolay Drozdov,Thomas Anguti Johnston,Sanae Ueda,Huw Cordey,Mark Linfield,Doug Allan,Chadden Hunter,Michael Kelem,Paul Stewart,Jeff Wilson,Doug Anderson,Simon King,Tom Clarke,Justine Evans,Jonathan Keeling,Warwick Sloss",1,11
Breaking Bad,Breaking Bad,9 octobre 2010,49,Un professeur de chimie de lycée chez qui on a diagnostiqué un cancer du poumon inopérable se tourne vers la fabrication et la vente de méthamphétamine pour assurer l'avenir de sa famille.,"Policier,Drame,Thriller","Anglais,Espagnol",États-Unis,Tous publics,9.5,"Bryan Cranston,Aaron Paul,Anna Gunn,Betsy Brandt,RJ Mitte,Dean Norris,Bob Odenkirk,Steven Michael Quezada,Jonathan Banks,Giancarlo Esposito,Charles Baker,Jesse Plemons,Christopher Cousins,Laura Fraser,Matt Jones,Michael Shamus Wiles,Lavell Crawford,Ray Campbell",5,62
Entre le ciel et l'enfer,Tengoku to jigoku,9 juin 1976,143,"À Yokohama, un malfaiteur kidnappe un enfant, qu'il prend pour le fils d'un industriel japonais. Il s'agit en fait du fils de son chauffeur. Le commissaire Tokura est chargé de l'affaire.","Policier,Drame,Mystère",Japonais,Japon,Tous publics,8.4,"Toshirô Mifune,Yutaka Sada,Tatsuya Nakadai,Kyôko Kagawa,Tatsuya Mihashi,Isao Kimura,Kenjirô Ishiyama,Takeshi Katô,Takashi Shimura,Jun Tazaki,Nobuo Nakamura,Yûnosuke Itô,Tsutomu Yamazaki,Minoru Chiaki,Eijirô Tôno,Masao Shimizu,Masahiko Shimazu,Toshio Egi",,
Le Retour du Jedi,Episode VI - Return of the Jedi,19 octobre 1983,131,"Après une mission risquée qui a permis de sauver Han Solo des mains de Jabba le Hutt, les rebelles se rendent à Endor pour détruire une nouvelle Etoile de la mort, encore plus puissante. Pendant ce temps, Luke se bat pour aider Dark Vador à sortir du côté obscur sans tomber dans ...","Action,Aventure,Fantastique","Anglais,Kikuyu,Tagalog,Kalmouk - Oïrat,Quechua,Polonais",États-Unis,Tous publics,8.3,"Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams,Anthony Daniels,Peter Mayhew,Sebastian Shaw,Ian McDiarmid,Frank Oz,James Earl Jones,David Prowse,Alec Guinness,Kenny Baker,Michael Pennington,Kenneth Colley,Michael Carter,Denis Lawson,Tim Rose",,
Chantons sous la pluie,Singin' in the Rain,11 septembre 1953,103,Une companie de films meut et ses acteurs font la transistion vers les films 'sonores',"Comédie,Comédie Musicale,Romantique",Anglais,États-Unis,Tous publics,8.3,"Gene Kelly,Donald O'Connor,Debbie Reynolds,Jean Hagen,Millard Mitchell,Cyd Charisse,Douglas Fowley,Rita Moreno,Dawn Addams,John Albright,Betty Allen,Sue Allen,John Angelo,Marie Ardell,Bette Arlen,David Bair,Lynn Bari,Jimmy Bates",,
Toy Story 3,Toy Story 3,14 juillet 2010,103,"Les jouets sont livrés par erreur à une garderie au lieu d'être remisés au grenier juste avant qu'Andy ne parte pour l'université, et c'est à Woody de convaincre les autres jouets qu'ils n'ont pas été abandonnés et de retourner à la maison.","Animation,Aventure,Comédie","Anglais,Espagnol",États-Unis,Tous publics,8.3,"Tom Hanks,Tim Allen,Joan Cusack,Ned Beatty,Don Rickles,Michael Keaton,Wallace Shawn,John Ratzenberger,Estelle Harris,John Morris,Jodi Benson,Emily Ricks Hahn,Laurie Metcalf,Blake Clark,Teddy Newton,Bud Luckey,Bea Miller,Javier Fernández-Peña",,
3 Idiots,3 Idiots,24 décembre 2009,170,"""Deux amis sont à la recherche de leur compagnon perdu depuis longtemps. Ils revisitent leurs années d'université et se souviennent des souvenirs de leur ami qui les a inspirés à penser différemment, même si le reste du monde les a traités d'""""idiots"""".""","Comédie,Drame","Hindi,Anglais",Inde,Tous publics,8.4,"Aamir Khan,Madhavan,Mona Singh,Sharman Joshi,Kareena Kapoor,Boman Irani,Omi Vaidya,Olivier Lafont,Rahul Kumar,Parikshit Sahni,Farida Dadi,Amardeep Jha,Mukund Bhatt,Chaitali Bose,Jaaved Jaaferi,Jayant Kripalani,Arun Bali,Shoaib Ahmed",,
Requiem for a Dream,Requiem for a Dream,21 mars 2001,102,Les utopies par stupéfiants de quatre habitants de Coney Island sont brisées lorsque leurs addictions s'aggravent.,Drame,Anglais,États-Unis,16,8.3,"Ellen Burstyn,Jared Leto,Jennifer Connelly,Marlon Wayans,Christopher McDonald,Louise Lasser,Marcia Jean Kurtz,Janet Sarno,Suzanne Shepherd,Joanne Gordon,Charlotte Aronofsky,Mark Margolis,Michael Kaycheck,Jack O'Connell,Chas Mastin,Ajay Naidu,Sean Gullette,Samia Shoaib",,
Top Gun: Maverick,Top Gun: Maverick,25 mai 2022,130,"Après plus de trente ans de service en tant que l'un des meilleurs aviateurs de la Marine, Pete Mitchell est à sa place, étant un pilote d'essai courageux et esquivant l'avancement en grade qui le clouerait au sol.","Action,Drame",Anglais,États-Unis,Tous publics,8.4,"Tom Cruise,Jennifer Connelly,Miles Teller,Val Kilmer,Bashir Salahuddin,Jon Hamm,Charles Parnell,Monica Barbaro,Lewis Pullman,Jay Ellis,Danny Ramirez,Glen Powell,Jack Schumacher,Manny Jacinto,Kara Wang,Greg Tarzan Davis,Jake Picking,Raymond Lee",,
Your Name.,Kimi no Na wa.,28 décembre 2016,106,"Deux étrangers se retrouvent liés d'une étrange manière. Quand une connexion se forme entre eux, la distance sera-t-elle la seule chose qui les séparera?","Animation,Drame,Fantastique",Japonais,Japon,Tous publics,8.4,"Ryûnosuke Kamiki,Mone Kamishiraishi,Ryô Narita,Aoi Yûki,Nobunaga Shimazaki,Kaito Ishikawa,Kanon Tani,Masaki Terasoma,Sayaka Ôhara,Kazuhiko Inoue,Chafûrin,Kana Hanazawa,Yuka Terasaki,Takashi Onozuka,Yôhei Namekawa,Miyu Tsuji,Shin'ya Hamazoe,Kanami Satô",,
Will Hunting,Good Will Hunting,4 mars 1998,126,"Will Hunting, un employé de ménage à M.I.T., a un don pour les mathématiques, mais a besoin de l'aide d'un psychologue pour trouver sa voie.","Drame,Romantique",Anglais,États-Unis,Tous publics,8.3,"Robin Williams,Matt Damon,Ben Affleck,Stellan Skarsgård,John Mighton,Rachel Majorowski,Colleen McCauley,Casey Affleck,Cole Hauser,Matt Mercier,Ralph St. George,Rob Lynds,Dan Washington,Alison Folland,Derrick Bridgeman,Vik Sahay,Shannon Egleson,Rob Lyons",,
Il était une fois en Amérique,Once Upon a Time in America,23 mai 1984,229,"Un ancien gangster juif de la période de la prohibition revient à Manhattan plus de trente ans plus tard, où il doit faire affronter les fantômes et les regrets de son passé.","Policier,Drame","Anglais,Italien,Français,Yiddish,Hébreu","Italie,États-Unis",Tous publics,8.3,"Robert De Niro,James Woods,Elizabeth McGovern,Treat Williams,Tuesday Weld,Burt Young,Joe Pesci,Danny Aiello,William Forsythe,James Hayden,Darlanne Fluegel,Larry Rapp,Dutch Miller,Robert Harper,Richard Bright,Gerard Murphy,Amy Ryder,Olga Karlatos",,
Le Bateau,Das Boot,17 février 1982,149,"L'univers claustrophobique d'un sous-marin de guerre allemand. Ennui, crasse et terreur pure.","Drame,Guerre",Allemand,"Allemagne de l'Ouest,Italie,France,Royaume-Uni",Tous publics,8.4,"Jürgen Prochnow,Herbert Grönemeyer,Klaus Wennemann,Hubertus Bengsch,Martin Semmelrogge,Bernd Tauber,Erwin Leder,Martin May,Heinz Hoenig,Uwe Ochsenknecht,Claude-Oliver Rudolph,Jan Fedder,Ralf Richter,Joachim Bernhard,Oliver Stritzel,Konrad Becker,Lutz Schnell,Martin Hemme",,
Avengers: Endgame,Avengers: Endgame,24 avril 2019,181,"Après les événements dévastateurs d'Avengers: Infinity War, l'univers est en ruine. Avec l'aide des alliés restants, les Avengers se rassemblent une fois de plus afin d'inverser les actions de Thanos et rétablir l'équilibre dans l'univers.","Action,Aventure,Drame","Anglais,Japonais,Xhosa,Allemand",États-Unis,Tous publics,8.4,"Robert Downey Jr.,Chris Evans,Mark Ruffalo,Chris Hemsworth,Scarlett Johansson,Jeremy Renner,Don Cheadle,Paul Rudd,Benedict Cumberbatch,Chadwick Boseman,Brie Larson,Tom Holland,Karen Gillan,Zoe Saldana,Evangeline Lilly,Tessa Thompson,Rene Russo,Elizabeth Olsen",,
Braveheart,Braveheart,4 octobre 1995,178,"Lorsque sa fiancée secrète est exécutée pour avoir agressé un soldat anglais ayant tenté de la violer, Sire William Wallace commence une révolte contre le roi Édouard Ier d'Angleterre.","Biographique,Drame,Historique","Anglais,Français,Latin,Gaélique,Italien",États-Unis,Tous publics,8.4,"Mel Gibson,Sophie Marceau,Patrick McGoohan,Angus Macfadyen,James Robinson,Sean Lawlor,Sandy Nelson,James Cosmo,Sean McGinley,Alan Tall,Andrew Weir,Gerda Stevenson,Ralph Riach,Mhairi Calvey,Brian Cox,Peter Hanly,Stephen Billington,Barry McGovern",,
